編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
603,中科三,深度學習,尊重智慧財產權,-,CycleGAN,-,FALSE,在無成對資料的情況下實現跨域風格轉換,循環一致性損失 (Cycle Consistency Loss),一種不需要成對範例 (Unpaired) 即可進行影像轉譯的技術，確保影像轉過去再轉回來能保持內容一致。,風格遷移、季節變換、草圖轉實景,"衛星圖轉地圖

藝術畫作風格化 (如將照片轉為梵谷風)",災害監測：無成對資料下將衛星日間影像轉為夜間紅外風格,智慧耕作：無成對資料下將健康作物影像轉為病害模擬影像,交通管理：無成對資料下將晴天道路影像轉為雨天/霧天風格,製程優化：無成對資料下將正常品影像轉為瑕疵品模擬影像,智慧醫療：無成對資料下將 CT 影像轉為 MRI 風格輔助跨模態診斷,智慧生活：照片風格轉換（如寫實轉動漫風格）,智慧消防：無成對資料下將正常建物影像轉為火災損毀模擬影像
604,中科三,機器學習,"透明度

可解釋性",潛在分布,Latent Distribution,-,FALSE,描述資料背後不可見的結構特徵,將高維觀測資料映射至低維機率空間,指無法直接觀測到，但能解釋觀察數據生成規律的隨機變數所遵循的機率分布。,特徵解耦、降維、數據生成,"語音合成中的音色特徵建模

推薦系統中的用戶隱性偏好",氣象預報：描述大氣環流背後不可見的潛在動力結構,智慧耕作：描述作物基因表現背後的潛在生長因子,交通管理：描述交通流量背後的潛在出行模式,製程優化：描述產品品質背後不可見的潛在製程參數,智慧醫療：語音合成中的音色特徵建模與基因潛在風險因子,智慧生活：推薦系統中使用者偏好的潛在特徵建模,公共安全：描述犯罪模式背後不可見的潛在社會因子
605,中科三,機器學習,技術自主,變分推斷,Variational Inference,VI,FALSE,快速估計複雜且難以計算的後驗分布,將推斷問題轉化為函數優化問題 (KL 散度最小化),一種統計學方法，利用較簡單的分布去逼近極其複雜的真實後驗分布，以解決貝氏推斷中的計算瓶頸。,隱變量模型求解、大規模資料貝氏推斷,"VAE 模型訓練

主題模型 (LDA) 的參數估計",氣象預報：快速估計極端天氣事件的後驗機率分布,智慧耕作：快速估計作物產量的後驗機率分布,交通管理：快速估計交通延遲時間的後驗分布,製程優化：快速估計產品良率的後驗機率分布,智慧醫療：VAE 模型訓練與主題模型推斷,智慧生活：推薦系統中快速估計使用者偏好後驗分布,公共安全：快速估計犯罪熱點的後驗機率分布
606,初科一,數據處理與分析,"透明度

尊重智慧財產權",-,Modified National Institute of Standards and Technology,MNIST,FALSE,提供標準化的手寫數字識別基準,28x28 像素的灰階手寫數字影像集,"一個包含 70,000 個手寫數字 (0-9) 圖片的大型資料庫，是電腦視覺與機器學習入門最常用的標準資料集。",演算法驗證、初學者教學、模型基準測試 (Benchmarking),"郵政編碼自動識別

支票金額手寫辨識訓練",氣象預報：以標準化手寫氣象觀測記錄數位化為基準,智慧耕作：農產品標籤手寫文字辨識標準化,交通管理：郵政編碼自動識別與手寫地址辨識,製程優化：手寫品檢記錄數位化與辨識標準化,智慧醫療：醫師手寫處方箋辨識數位化,智慧生活：支票金額手寫辨識訓練與表單自動處理,公共安全：手寫報案筆錄辨識數位化存檔
607,中科一,電腦視覺技術,"安全性

可解釋性",去噪,Denoising,-,FALSE,從受損或含雜訊的訊號中還原真實資訊,過濾高頻隨機干擾，保留低頻結構資訊,指透過數學濾波或深度學習模型，消除影像、語音或資料中不必要的干擾（雜訊），以提升品質的技術。,影像增強、特徵提取預處理、通訊品質提升,"夜間監控影像優化

老舊相片修復

醫療超音波影像清晰化",災害監測：去除衛星影像中的雲層雜訊還原地表資訊,智慧耕作：去除農田空拍影像中的霧氣雜訊,交通管理：夜間監控影像雜訊去除提升車牌辨識率,製程優化：去除產線 X 光檢測影像中的散射雜訊,智慧醫療：去除醫學影像中的設備雜訊還原病灶細節,智慧生活：手機照片降噪提升畫質,智慧消防：夜間火場監控影像去噪提升辨識度
608,中科三,深度學習,"安全性

透明度",去噪擴散機率模型,Denoising Diffusion Probabilistic Models,DDPM,FALSE,從純雜訊中逐步還原並生成高品質數據,馬可夫鏈 (Markov Chain) 的正向加噪與反向去噪,一種生成模型，透過逐步向資料加入高斯雜訊，再學習如何逆轉此過程以從雜訊中合成出原始分布的數據。,圖像生成 (T2I)、影像修復、音訊合成,"Midjourney 底層架構

醫學影像超解析度還原",災害監測：從純雜訊逐步生成高品質合成氣象雷達圖,智慧耕作：從純雜訊生成合成作物病害影像擴充訓練集,交通管理：從純雜訊生成合成交通場景影像,製程優化：從純雜訊生成合成瑕疵影像擴充品檢訓練集,智慧醫療：從純雜訊逐步生成合成醫學影像用於研究,智慧生活：AI 藝術創作與高品質人像生成,智慧消防：從純雜訊生成合成火場影像用於消防模擬
609,中科一,多模態 AI,"責任與問責

公平性",-,Flamingo,-,FALSE,實現強大的少樣本 (Few-shot) 多模態學習能力,視覺編碼器與語言模型透過 Perceiver Resampler 連結,由 DeepMind 開發的視覺語言模型，能透過少量的圖文範例快速學會描述影像或回答複雜的視覺問題。,影像描述生成、視覺問答 (VQA)、多模態對話,"自動生成新聞圖片說明

視障人士的環境視覺描述助理",災害監測：少樣本條件下辨識罕見災害類型的多模態分析,智慧耕作：少樣本條件下辨識稀有病蟲害的多模態學習,交通管理：少樣本條件下辨識罕見交通事故類型,製程優化：少樣本條件下辨識新型產品瑕疵的多模態分析,智慧醫療：少樣本條件下辨識罕見疾病的多模態輔助診斷,智慧生活：少樣本條件下理解新類別商品的多模態推薦,公共安全：少樣本條件下辨識新型犯罪模式的多模態分析
610,中科二,知名工具與平台,"責任與問責

安全性",自主代理,Autonomous Agent,-,FALSE,在無需人類介入下完成複雜目標,感知 (Perceive) → 思考 (Plan) → 行動 (Action) 的閉環系統,一種能根據預設目標，自主拆解任務、調用外部工具並進行自我修正，最終完成任務的 AI 系統。,自動執行研究、自主編碼、自動化供應鏈管理,"AutoGPT 執行市場分析

智能家居自動節能優化",災害監測：自主代理持續監控氣象數據並自動發布預警,智慧耕作：自主代理自動監控作物狀態並執行灌溉施肥,交通管理：自主代理自動調控交通號誌優化路口流量,製程優化：自主代理自動監控產線並調整製程參數,智慧醫療：自主代理自動分析病患數據並建議治療方案,智慧生活：AI 個人助理自主安排行程與處理郵件,智慧消防：自主代理自動監控火警感測器並調度消防資源
611,中科二,系統架構優化,"隱私保護

互通性",代理對代理,Agentic To Agentic,A2A,FALSE,實現不同 AI 代理之間的協作與通訊,基於標準協議 (如 JSON-RPC) 的代理間協商與交易,指不同 AI 代理之間直接進行資訊交換、任務委託或資源協商的互動模式，無需人類作為中介。,多代理協作 (Multi-Agent)、跨平台自動化、AI 經濟系統,"AI 旅遊代理與 AI 飯店代理自動議價訂房

跨公司 AI 法律審查對接",災害監測：多個氣象 AI 代理協作進行跨區域聯合預警,智慧耕作：農場多個 AI 代理協作進行全流程智慧管理,交通管理：多個交通 AI 代理協作優化區域交通網路,製程優化：多個產線 AI 代理協作實現跨廠區製程優化,智慧醫療：多個醫療 AI 代理協作進行跨科會診輔助,智慧零售：多個零售 AI 代理協作優化供應鏈與庫存,智慧消防：多個消防 AI 代理協作進行跨轄區聯合救災
612,"中科一

中科三","AI 系統架構

代理人技術","問責

安全與可靠",代理人間通訊協定,Agent-to-Agent Protocol,-,FALSE,建立標準化的跨代理人溝通機制。,基於標準化消息傳遞格式（如 JSON-RPC 或自定義語法），定義請求、回應與錯誤處理規範。,一套允許不同 AI 代理人（Agents）之間交換資訊、任務授權與協作的通訊規範。,確保多代理人系統（MAS）中的資訊一致性與任務接力順暢。,供應鏈管理中，採購 Agent 與物流 Agent 自動對接庫存與遞送狀態。,災害監測：標準化通訊協定讓不同縣市氣象 AI 互通資訊,智慧耕作：標準化通訊協定讓農場各系統 AI 互通資訊,交通管理：標準化通訊協定讓不同城市交通 AI 互通資訊,製程優化：標準化通訊協定讓不同廠區 AI 互通資訊,智慧醫療：標準化通訊協定讓不同醫院 AI 互通會診,智慧零售：標準化通訊協定讓不同品牌零售 AI 互通資訊,公共安全：標準化通訊協定讓不同機關安全 AI 互通資訊
613,"初科二

中科一","生成式 AI 應用

代理人架構",永續發展與福祉,客戶端代理人,Client Agent,-,FALSE,提升終端使用者與 AI 系統的互動效率。,部署於使用者終端（如瀏覽器、App），負責接收輸入、初步過濾並將請求導向後端。,代表使用者執行任務、與伺服器端代理人通訊並處理在地化資訊的輕量化 Agent。,減少延遲，提供個人化的即時交互介面與初步數據隱私過濾。,"個人助理 App 在本機端先行判斷語意，再決定是否呼叫雲端大型模型。


不同公司的 AI 助理自動對接排程

供應鏈中多個採購代理的自動議價",災害監測：終端使用者透過手機 APP 與防災 AI 即時互動,智慧耕作：農民透過手機 APP 與農業 AI 助手即時互動,交通管理：駕駛人透過車載系統與交通 AI 助手即時互動,製程優化：產線人員透過平板與產線 AI 助手即時互動,智慧醫療：病患透過 APP 與健康管理 AI 助手即時互動,智慧生活：使用者透過智慧音箱與 AI 助手搜尋資訊下單,公共安全：民眾透過 APP 與公共安全 AI 即時回報通報
614,"中科一

中科三","邊緣運算

代理人部署","隱私保護

透明與可解釋",遠端代理人,Remote Agent,-,FALSE,在雲端或伺服器端執行高算力任務。,接收來自 Client 的加密指令，在高效能環境執行模型推論，並將結果回傳。,運行於遠端伺服器，負責處理複雜運算、大規模數據檢索或跨系統整合的 AI 代理人。,提供強大的算力支援，同時透過 API 接口與終端維持隔離。,"智慧工廠中，各機台收集數據後傳至遠端 Agent 進行大數據故障預測分析。

手機上的個人 AI 助理

瀏覽器中的自動化操作代理",災害監測：雲端 AI 彙整各地氣象站數據進行大規模運算,智慧耕作：雲端 AI 彙整各農場數據進行產量預測運算,交通管理：雲端 AI 彙整各路口數據進行全域交通優化,製程優化：雲端 AI 彙整各機台數據進行大規模製程分析,智慧醫療：雲端 AI 彙整各醫院數據進行流行病學分析,智慧零售：雲端 AI 彙整各分店數據進行全域庫存優化,智慧消防：雲端 AI 彙整各消防局數據進行全域資源調度
615,"初科二

中科一","AI 治理與規範

模型說明性",透明與可解釋,代理人名片,Agent Card,-,FALSE,建立 AI 代理人的透明度與信任基礎。,結構化文檔化技術，記錄 Agent 的訓練資料、能力邊界、限制與道德準則。,類似 Model Card，專為 Agent 設計的技術說明文件，揭露其功能、版本與合規資訊。,讓使用者或管理員快速了解 Agent 的可信度與適用範圍，符合審計需求。,"企業內部導入 AI 秘書時，透過 Agent Card 確認其是否有權限讀取薪資個資。


雲端 AI 程式碼生成伺服器

部署在遠端工廠的自動化維修代理",災害監測：透過 Agent Card 確認防災 AI 的能力範圍與限制,智慧耕作：透過 Agent Card 確認農業 AI 助手的功能說明,交通管理：透過 Agent Card 確認交通 AI 的權限與資料存取範圍,製程優化：透過 Agent Card 確認產線 AI 的決策邊界與責任歸屬,智慧醫療：透過 Agent Card 確認醫療 AI 的認證與適用範圍,智慧生活：透過 Agent Card 確認 AI 秘書的權限與隱私政策,公共安全：透過 Agent Card 確認安防 AI 的監控範圍與合規性
616,"初科二

中科三","生成式 AI 優化

模型微調","透明與可解釋

安全與可靠",指令微調,Instruction Tuning,-,FALSE,強化模型遵循人類指令的能力。,在預訓練模型基礎上，使用「指令-回答」對（Prompt-Response pairs）進行有監督微調（SFT）。,透過特定格式的任務指令訓練 LLM，使其能理解並準確執行各種複雜任務（如摘要、翻譯）。,解決模型「答非所問」的問題，提升模型在特定任務上的實用性。,將通用的 Llama 模型微調成專門處理台灣法律公文格式的法律助手。,災害監測：微調防災 AI 使其更精準遵循災害分級指令,智慧耕作：微調農業 AI 使其更精準遵循病蟲害診斷指令,交通管理：微調交通 AI 使其更精準遵循號誌控制指令,製程優化：微調產線 AI 使其更精準遵循品質控制指令,智慧醫療：微調醫療 AI 使其更精準遵循臨床診斷指令,智慧生活：微調客服 AI 使其更精準遵循服務流程指令,智慧消防：微調消防 AI 使其更精準遵循救災部署指令
